Title,Price,Rating,Availability,Stock,Price_Range,Rating_Group,Stock_Status
A Light in the Attic,51.77,3,In stock,1,High,Average,Available
Tipping the Velvet,53.74,1,In stock,1,High,Poor,Available
Soumission,50.1,1,In stock,1,High,Poor,Available
Sharp Objects,47.82,4,In stock,1,High,Good,Available
Sapiens A Brief History of Humankind,54.23,5,In stock,1,High,Excellent,Available
The Requiem Red,22.65,1,In stock,1,Medium,Poor,Available
The Dirty Little Secrets of Getting Your Dream Job,33.34,4,In stock,1,Medium,Good,Available
The Coming Woman A Novel Based on the Life of the Infamous Feminist Victoria Woodhull,17.93,3,In stock,1,Low,Average,Available
The Boys in the Boat Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,In stock,1,Medium,Good,Available
The Black Maria,52.15,1,In stock,1,High,Poor,Available
Starving Hearts Triangular Trade Trilogy 1,13.99,2,In stock,1,Low,Poor,Available
Shakespeares Sonnets,20.66,4,In stock,1,Medium,Good,Available
Set Me Free,17.46,5,In stock,1,Low,Excellent,Available
Scott Pilgrims Precious Little Life Scott Pilgrim 1,52.29,5,In stock,1,High,Excellent,Available
Rip it Up and Start Again,35.02,5,In stock,1,Medium,Excellent,Available
Our Band Could Be Your Life Scenes from the American Indie Underground 19811991,57.25,3,In stock,1,High,Average,Available
Olio,23.88,1,In stock,1,Medium,Poor,Available
Mesaerion The Best Science Fiction Stories 18001849,37.59,1,In stock,1,Medium,Poor,Available
Libertarianism for Beginners,51.33,2,In stock,1,High,Poor,Available
Its Only the Himalayas,45.17,2,In stock,1,High,Poor,Available
