,Title,Price,Rating,Availability,Stock,Price_Range,Rating_Group,Stock_Status
0,A Light in the Attic,51.77,3,In stock,1,High,Average,Available
1,Tipping the Velvet,53.74,1,In stock,1,High,Poor,Available
2,Soumission,50.1,1,In stock,1,High,Poor,Available
3,Sharp Objects,47.82,4,In stock,1,High,Good,Available
4,Sapiens A Brief History of Humankind,54.23,5,In stock,1,High,Excellent,Available
5,The Requiem Red,22.65,1,In stock,1,Medium,Poor,Available
6,The Dirty Little Secrets of Getting Your Dream Job,33.34,4,In stock,1,Medium,Good,Available
7,The Coming Woman A Novel Based on the Life of the Infamous Feminist Victoria Woodhull,17.93,3,In stock,1,Low,Average,Available
8,The Boys in the Boat Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,In stock,1,Medium,Good,Available
9,The Black Maria,52.15,1,In stock,1,High,Poor,Available
10,Starving Hearts Triangular Trade Trilogy 1,13.99,2,In stock,1,Low,Poor,Available
11,Shakespeares Sonnets,20.66,4,In stock,1,Medium,Good,Available
12,Set Me Free,17.46,5,In stock,1,Low,Excellent,Available
13,Scott Pilgrims Precious Little Life Scott Pilgrim 1,52.29,5,In stock,1,High,Excellent,Available
14,Rip it Up and Start Again,35.02,5,In stock,1,Medium,Excellent,Available
15,Our Band Could Be Your Life Scenes from the American Indie Underground 19811991,57.25,3,In stock,1,High,Average,Available
16,Olio,23.88,1,In stock,1,Medium,Poor,Available
17,Mesaerion The Best Science Fiction Stories 18001849,37.59,1,In stock,1,Medium,Poor,Available
18,Libertarianism for Beginners,51.33,2,In stock,1,High,Poor,Available
19,Its Only the Himalayas,45.17,2,In stock,1,High,Poor,Available
